question,corr_ans,,,,,
Горючее поступает через левое отверстие,a,,,,,
Свеча находится в нижнем торце полого цилиндра,l,,,,,
Шестерёнка находится под свечой,a,,,,,
Свеча находится под полым цилиндром,l,,,,,
Взрыв происходит над шестерёнкой,a,,,,,
Поршень и шестерёнка соединены через правое отверстие,l,,,,,
Газ после взрыва выходит через нижнее отверстие,l,,,,,
Свеча находится над шестерёнкой,a,,,,,
В правом отверстии находится свеча,l,,,,,
Вращение шестерёнки заставляет свечу запускать искру,l,,,,,
